Indicator,Unit,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Computer, electronic and optical products",Units,70.16543069,72.51296814,65.0378357,70.69032761,79.85937805,68.47797627,64.48686598,66.35870362,49.08392116,36.09310548,30.83086022,27.39676808,21.32561142,19.28665442,18.58795019,15.00280989,13.84905386,13.61959356,26.61306623,5.988230327,17.23358044,16.83150964,14.69571717,14.19472828
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Construction,Units,29.77271184,32.36796317,30.07414877,30.4269998,33.34310379,32.50598095,33.82726862,32.67586111,28.1426339,25.05641633,23.47195781,26.15408768,24.6359504,25.40126086,27.97535749,24.43246226,23.44927905,31.71623477,28.37116465,41.30966883,29.21334,26.32432145,24.96732073,26.07871828
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Education,Units,95.25680974,93.99584815,88.99525413,49.10035986,51.96987171,48.2638866,46.45926079,48.82969896,44.89054777,36.00313279,31.61904502,31.51904275,30.12911819,29.54425293,27.48147629,22.747185,24.26478531,25.80172075,19.97018981,25.99210619,25.23407208,25.13928989,23.06457923,23.19393559
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Electrical equipment,Units,72.58088214,75.26370275,68.02201162,73.95688151,84.06085469,72.72689546,68.77215794,70.72576533,53.03247146,39.33397836,33.4370476,29.98306512,23.6602042,21.04429371,20.39162375,16.56763135,15.21443323,16.25452932,14.64086466,11.34612493,16.83283698,16.90026965,14.69384481,13.98678585
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Electricity, gas, steam and air conditioning supply",Units,21099.03842,21395.40709,20107.26016,20475.30451,19685.59691,19523.21904,19694.41211,18679.72541,16507.16477,13950.19929,12318.21677,11059.8855,9472.64202,9002.007314,9487.889547,7978.935116,7092.109245,7760.868689,7593.413201,7554.285108,8018.235447,7735.892738,7160.19211,7263.790251
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Fabricated metal products,Units,95.00539522,101.2069251,102.9065454,110.3420498,131.0711219,122.6977746,125.5423877,124.1899357,101.2819652,93.63405845,81.12212094,71.01007734,58.98845042,56.49589456,56.88275862,45.84093349,44.18059585,53.21549132,62.97341123,17.7997119,17.86730016,16.87580128,14.34106392,13.94896382
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Financial and insurance activities,Units,154.0818863,162.3460392,153.9570347,119.5183799,119.2572627,117.417124,104.3473674,99.2692527,89.10416579,82.22322354,67.75727295,57.27171553,51.96323315,50.39053958,54.47039102,45.08140276,47.38990806,52.62898154,43.46515124,45.48400615,27.99221316,28.69116404,26.75632959,27.44262316
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Fishing and aquaculture,Units,16.6148569,16.00709237,15.82727974,16.10625717,15.71920758,19.94813485,16.83018724,19.64565723,16.31081897,11.42908703,13.42083554,12.78728578,11.8521917,15.82818116,17.31343284,18.67496665,17.80980298,14.65825805,12.63681389,13.88383409,3.595799115,3.723337585,4.00130275,4.137396785
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Food products, beverages and tobacco",Units,29.76815255,23.39610524,18.82688515,20.38163359,22.30792795,25.58856121,20.96251493,25.32457479,20.22500787,17.03405923,16.62552461,15.9533192,12.32301797,14.91339304,12.31586481,9.922556835,9.876158644,5.049646086,6.445703245,11.09592556,12.13897987,12.19633928,12.1586604,11.94406613
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Human health and social work activities,Units,80.5437615,80.85505084,79.94186047,45.62938969,47.83163265,42.43063234,40.19758562,41.26899246,36.54008605,25.21302673,22.49382913,21.02882085,19.94848518,20.22190555,20.63652022,18.29453249,18.55642853,19.92817389,19.97650419,25.25638216,18.31390643,18.87081983,17.2128098,17.49914837
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,IT and other information services,Units,114.8443955,115.030943,108.4828322,69.98164159,70.05461886,57.45562897,55.61057363,54.69953324,47.45551355,36.61567653,33.89558555,32.12524838,29.71788427,31.12233359,30.58202942,27.66520329,28.73805299,28.98738945,30.14928,29.60835344,26.08677702,25.83766791,23.50542624,23.63284552
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Land transport and transport via pipelines,Units,732.7637848,735.1766864,644.3661409,657.9714254,643.9579857,633.5328601,630.1939941,598.2215036,510.6347042,455.6644188,424.2235097,400.2719164,387.2935116,397.6083925,416.4889966,367.5549391,340.1321107,314.5765044,361.48601,376.9731058,438.2154018,433.501656,397.2994149,378.8156203
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Machinery and equipment n.e.c.,Units,72.47301634,74.73439344,68.36593559,74.16814042,83.85293485,72.86818711,69.8361875,70.95024109,53.27887049,39.70760762,34.42104275,30.66110862,24.27710088,21.4704443,21.12758874,16.95089213,15.28701055,15.83708342,11.07826698,7.891368107,83.36710473,78.86379257,69.74795828,66.99885774
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Manufacturing nec; repair and installation of machinery and equipment,Units,2075.496493,1856.387638,2327.926286,3131.413811,2780.47866,1704.035354,1666.704525,1484.554802,1141.660889,956.4547261,1444.912158,1434.513155,1476.835365,1559.458141,1846.374185,1782.549017,1632.063767,1327.610258,1560.104993,1396.674266,1296.167542,1388.579581,1462.203992,1122.138227
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Mining and quarrying, energy producing products",Units,636.3846218,610.4167085,683.9867655,771.3946758,867.8380318,841.1288052,876.6519824,739.8255245,656.0909689,474.4601611,422.1036567,393.7123226,605.3697162,319.9474802,247.7551807,136.0441446,287.4909774,236.0432833,276.1584293,330.5436548,345.7447912,405.709242,370.9207569,382.0569905
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Mining and quarrying, non-energy producing products",Units,997.6571652,943.4469773,800.8817046,843.1916948,751.1686637,736.6230074,738.4869269,698.117487,564.2939351,448.9408056,344.6782281,281.6376511,238.0662495,252.6912004,292.1763095,228.5542691,194.853248,205.5800294,212.606843,186.9456843,221.9248815,198.068037,174.3742565,185.1879547
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Mining support service activities,Units,921.3766593,846.3712179,707.1753265,754.0983607,646.6653152,610.1634525,595.4539704,576.6758494,476.2047112,359.8734839,259.9365553,212.4806333,175.5334595,185.3425438,221.3205459,168.8325686,137.5228421,140.2240241,103.8906651,112.6775525,149.949234,132.7822957,113.1039982,122.361816
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Motor vehicles, trailers and semi-trailers",Units,306.8300914,337.5160124,337.0344832,363.6675475,367.0736466,360.4700597,364.673536,353.0704373,302.682917,270.653311,247.479026,229.2820977,215.5286176,226.5441406,234.5427763,209.1467545,179.0687002,80.17403141,190.6606852,2.770946625,7.176744096,7.231883891,6.655363113,6.777328849
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Other non-metallic mineral products,Units,3754.234752,3514.619617,3259.229276,4084.05459,3875.859556,4184.953508,4253.552835,4016.633712,3406.42896,2849.634946,2504.489279,2261.275085,2000.963887,1720.845013,1823.107625,1422.461267,1415.032058,1563.772989,1895.868543,1786.78317,1588.366286,1302.855301,1153.927125,1135.335341
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Other service activities,Units,154.0906683,134.3249164,152.3602052,124.8318328,152.7051616,148.1362811,145.2855468,149.1903166,137.4825597,129.2144999,118.0049936,110.9899396,103.0495947,102.5972604,100.5496045,87.1103459,82.8721855,75.80380139,63.59989314,73.51606285,86.44296322,84.00879749,77.98548537,77.41529452
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Other transport equipment,Units,197.7992304,219.2550045,210.3743023,230.2631579,211.3303192,234.7574544,237.9581356,227.2661517,179.5480845,115.9681451,81.59819921,77.26715295,72.66484676,84.38059195,131.3200595,113.0118001,128.0135468,65.5919049,126.653359,2.331351105,5.956023602,5.409419109,4.886242981,4.697404684
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Paper products and printing,Units,1461.360193,1571.041509,1404.859179,1416.314858,1042.832153,926.3783958,957.7398284,865.544989,742.2327346,613.2667059,511.3783782,405.9876548,371.3718101,280.2984997,361.4665242,328.3822369,195.1359299,217.3275276,223.4431945,122.2113411,98.65689521,95.56170478,108.4687685,104.3250971
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Pharmaceuticals, medicinal chemical and botanical products",Units,835.854522,813.4902393,786.767681,659.0474619,538.9654117,794.5364257,783.5326843,791.9286778,592.8867524,517.9638852,393.7497042,373.8147245,275.2068377,260.7180407,229.3991739,186.4486431,155.6470906,161.872934,139.8041989,138.5511282,153.2805994,153.6669827,129.586304,126.1779007
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Postal and courier activities,Units,200.2317796,203.7691402,195.4955409,160.9107066,159.0853807,149.121992,147.0648311,144.6678909,127.0754442,110.424855,102.6612744,93.66793114,90.12763741,133.7270719,144.822919,133.0500894,190.692525,187.9130351,182.2942895,223.9846452,264.8051765,244.6913886,221.7188541,217.6899903
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Professional, scientific and technical activities",Units,368.9277169,374.5893822,341.1009794,288.187179,272.2154015,240.2921198,226.2669796,216.9051085,185.6684364,163.7195558,150.7486642,140.323422,131.0073778,141.5165733,140.1093836,123.3970949,124.3929032,122.4099794,111.2712724,123.9741466,143.5190351,139.269166,128.7066757,127.8842632
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Public administration and defence; compulsory social security,Units,75.40047611,75.72131666,75.29949107,41.65617468,44.65202374,39.20681595,37.93735953,38.93499036,34.7386422,23.69365921,21.08367681,19.30142165,18.31602705,18.10240883,18.95298844,16.72480056,16.75425156,18.25377655,17.84473094,16.41066612,17.04816823,17.43445806,15.89508638,16.06197089
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Publishing, audiovisual and broadcasting activities",Units,98.1285484,99.08461564,98.94310771,65.09994598,64.49377715,59.06440005,55.17727166,55.33994538,49.14542669,37.14491426,33.85825637,32.08641942,33.04909698,37.00869026,35.88866957,34.56195509,36.92588809,33.00185086,28.49334509,35.51704623,36.57778442,36.0584803,32.42554379,32.7321738
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Real estate activities,Units,101.6551033,107.6599281,108.588464,76.67912691,76.13405164,70.90230237,67.98407113,70.78588469,66.9869291,59.86873376,57.42610348,55.79370395,52.22802418,51.94294492,54.47073326,47.77960277,48.33328297,46.85085747,48.08963968,47.77709161,53.51702031,52.10986974,48.58476029,48.58747416
