Series,Variable,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Emissions and CCS,Energy and industrial processes CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2/yr,2815.5783,3359.3707,3753.767,2883.4449,2189.9071,1623.9656,1260.9863
Emissions and CCS,Energy and industrial processes CO2 emissions,Fragmented World,Mt CO2/yr,2814.9572,3355.4143,3752.194,3338.597,2924.681,2502.7872,2095.3938
Emissions and CCS,Energy and industrial processes CO2 emissions,Low Demand,Mt CO2/yr,2805.4108,3429.7473,1994.1935,1244.5997,979.135,630.9611,335.4461
Emissions and CCS,Energy and industrial processes CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2/yr,2815.6156,3453.0339,3926.2988,4257.2895,4430.7974,4120.924,3921.1712
Emissions and CCS,Energy and industrial processes CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2/yr,2813.188,3447.115,2000.1071,1299.1134,1018.3338,721.5158,530.5084
Emissions and CCS,Energy and industrial processes CO2 emissions,Below 2°C,Mt CO2/yr,3254.3236,3679.6535,3755.6227,3153.0868,2435.3467,1811.621,1281.9147
Emissions and CCS,Energy and industrial processes CO2 emissions,Current Policies (Hot house world scenario),Mt CO2/yr,3254.3236,3688.8022,4192.6785,4568.704,4760.0673,4893.8455,5267.2759
Emissions and CCS,Energy and industrial processes CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2/yr,3254.3236,3688.8022,4192.6785,4344.6174,2819.4364,1443.2354,962.696
Emissions and CCS,Energy and industrial processes CO2 emissions,Fragmented World,Mt CO2/yr,3254.3236,3688.8022,4192.6785,4551.6272,3557.4215,2663.7966,2007.5197
Emissions and CCS,Energy and industrial processes CO2 emissions,Low Demand,Mt CO2/yr,3254.3236,3512.9289,2422.0086,1584.1967,1089.4786,774.0406,440.171
Emissions and CCS,Energy and industrial processes CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2/yr,3254.3236,3639.7459,3687.068,3284.7915,2970.2109,2875.3681,2752.7758
Emissions and CCS,Energy and industrial processes CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2/yr,3254.3236,3581.8253,2788.0838,1859.4317,1195.1064,695.7959,210.2301
Emissions and CCS,Fossil energy CCS,Below 2°C,Mt CO2/yr,0.043,7.6606,54.9683,131.9238,227.6766,307.8667,366.3597
Emissions and CCS,Fossil energy CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0.043,7.878,17.2301,30.2538,50.5116,68.1234,80.6403
Emissions and CCS,Fossil energy CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0.043,7.874,17.2275,73.4784,170.1838,261.4139,334.7323
Emissions and CCS,Fossil energy CCS,Fragmented World,Mt CO2/yr,0.043,7.8783,17.2303,52.6316,132.4119,215.4792,286.7314
Emissions and CCS,Fossil energy CCS,Low Demand,Mt CO2/yr,0.043,5.9903,41.2617,116.4002,213.0524,295.8211,337.3944
Emissions and CCS,Fossil energy CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0.043,7.6193,17.2593,33.2702,60.414,86.4169,108.1899
Emissions and CCS,Fossil energy CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0.043,8.3397,74.1655,173.9439,273.426,348.6696,360.5751
Emissions and CCS,Fossil energy CCS,Below 2°C,Mt CO2/yr,0,0,6.5994,17.1081,38.4915,69.2408,129.6915
Emissions and CCS,Fossil energy CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,30.9569,53.6021,93.128,168.4672
Emissions and CCS,Fossil energy CCS,Fragmented World,Mt CO2/yr,0,0,0,3.182,11.9649,27.5408,59.7961
Emissions and CCS,Fossil energy CCS,Low Demand,Mt CO2/yr,0,0,87.0295,89.5075,113.7375,144.6006,197.0629
Emissions and CCS,Fossil energy CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,115.4395,88.213,131.4504,187.0729,165.5861
Emissions and CCS,Fossil energy CCS,Below 2°C,Mt CO2/yr,0,0,0,1.3551,31.8379,119.7149,157.3045
Emissions and CCS,Fossil energy CCS,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0.4769,23.1078,74.1881,96.1385
Emissions and CCS,Fossil energy CCS,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,Low Demand,Mt CO2/yr,0,0,0,5.2999,26.3251,41.4201,38.4625
Emissions and CCS,Fossil energy CCS,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0.2601,0.2609,0.2474,0.2261
Emissions and CCS,Fossil energy CCS,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,18.9893,87.5348,125.2132,116.5815,67.2269
Primary energy,Gas,Below 2°C,EJ/yr,2.5723,4.2147,4.7136,5.3236,5.7772,5.6582,5.0573
Primary energy,Gas,Current Policies (Hot house world scenario),EJ/yr,2.5723,3.7119,5.2901,6.796,8.3589,10.0184,11.6435
Primary energy,Gas,Delayed Transition (Disorderly scenario),EJ/yr,2.5719,3.7111,5.2836,5.6036,6.2226,6.5354,6.0858
Primary energy,Gas,Fragmented World,EJ/yr,2.5723,3.7113,5.2865,6.2382,6.7606,7.3817,7.751
Primary energy,Gas,Low Demand,EJ/yr,2.5723,3.9826,4.1484,4.6436,4.8852,4.3257,3.9005
Primary energy,Gas,Nationally Determined Contributions (NDCs),EJ/yr,2.5723,3.8895,5.5874,7.0497,8.5501,9.761,10.8637
Primary energy,Gas,Net Zero 2050 (Orderly scenario),EJ/yr,2.5723,4.1435,4.4032,4.7536,4.6909,4.085,3.7462
Primary energy,Gas,Below 2°C,EJ/yr,3.3926,4.488,7.7282,8.3377,8.7742,7.5081,7.2967
Primary energy,Gas,Current Policies (Hot house world scenario),EJ/yr,3.3518,4.5073,5.2572,5.7927,5.7982,6.8766,6.5541
